geoid,geoid_str,load
060014413021,"1 (Tract 4413.02, Alameda, CA)",207.8400036394595
060014414011,"1 (Tract 4414.01, Alameda, CA)",124.84000152349462
060014414021,"1 (Tract 4414.02, Alameda, CA)",200.15999773740745
060014415011,"1 (Tract 4415.01, Alameda, CA)",86.16000130176539
060014415031,"1 (Tract 4415.03, Alameda, CA)",0.48000068664551243
060014415211,"1 (Tract 4415.21, Alameda, CA)",143.00000282525994
060014415221,"1 (Tract 4415.22, Alameda, CA)",95.12000303268428
060014415231,"1 (Tract 4415.23, Alameda, CA)",74.92000168561934
060014415241,"1 (Tract 4415.24, Alameda, CA)",179.08000355362864
060014415251,"1 (Tract 4415.25, Alameda, CA)",48.47999947667124
060014416011,"1 (Tract 4416.01, Alameda, CA)",109.600000667572
060014416021,"1 (Tract 4416.02, Alameda, CA)",429.3440063714977
060014417011,"1 (Tract 4417.01, Alameda, CA)",368.01600697636576
060014417021,"1 (Tract 4417.02, Alameda, CA)",391.1200040549037
060014418001,"1 (Tract 4418, Alameda, CA)",308.72000266313523
060014419211,"1 (Tract 4419.21, Alameda, CA)",156.3840014696119
060014419231,"1 (Tract 4419.23, Alameda, CA)",100.84800242185591
060014419241,"1 (Tract 4419.24, Alameda, CA)",547.9200019240378
060014419261,"1 (Tract 4419.26, Alameda, CA)",164.83200173377963
060014419271,"1 (Tract 4419.27, Alameda, CA)",180.4640063285825
060014419281,"1 (Tract 4419.28, Alameda, CA)",92.60000172853455
060014419291,"1 (Tract 4419.29, Alameda, CA)",203.99200427532162
060014420001,"1 (Tract 4420, Alameda, CA)",267.72000589370725
060014421001,"1 (Tract 4421, Alameda, CA)",274.720001697541
060014422001,"1 (Tract 4422, Alameda, CA)",261.9200037956243
060014423011,"1 (Tract 4423.01, Alameda, CA)",108.19999852180467
060014423021,"1 (Tract 4423.02, Alameda, CA)",211.12000151574586
060014424001,"1 (Tract 4424, Alameda, CA)",95.77600119709959
060014425011,"1 (Tract 4425.01, Alameda, CA)",87.32000184059132
